OBJECTID,GEOID20,NAME20,NAMELSAD20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_Area,StCtyName,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,POP100,HU100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003
11,41071,Yamhill,Yamhill County,1854279942,6381028,+45.2478274,-123.3163993,0.213202586,YamhillOregon,Oregon,Yamhill County,107722,107832,108239,110,407,274,1011,328,1097,-54,-86,2,-5,165,482,167,477,-3,16,9.35803509,10.15406973,-0.796034637,-0.046281084,4.461496453,4.415215369,99193,37110,99193,95933,84758,872,1520,1474,172,7137,3260,3021,321,1150,629,110,580,24,9,3,15,20,8,52,57,34,9,223,16,0,0,99193,14592,84601,82228,78448,784,1272,1418,163,143,2373,2204,162,7,0,0,74364,72579,65129,642,1118,1132,141,4417,1785,1658,119,8,0,0,74364,8844,65520,64146,61275,589,959,1099,136,88,1374,1279,91,4,0,0,37110,34726,2384
12,41015,Curry,Curry County,4217489863,934614482,+42.4664387,-124.2109292,0.563958108,CurryOregon,Oregon,Curry County,23446,23503,23683,57,180,42,160,126,499,-84,-339,0,-3,145,529,145,526,-4,-7,6.78167253,21.1503412,-14.36866867,-0.12715636,22.4219048,22.29474844,22364,12613,22364,21542,20574,67,426,160,21,294,822,764,64,524,62,15,81,3,3,0,3,1,1,2,4,1,0,55,3,0,0,22364,1201,21163,20484,19837,62,391,157,21,16,679,639,38,2,0,0,18853,18303,17590,33,330,132,17,201,550,516,31,3,0,0,18853,753,18100,17628,17134,32,303,129,17,13,472,451,19,2,0,0,12613,10417,2196
13,41059,Umatilla,Umatilla County,8327972955,41622675,+45.5911997,-118.7338795,0.965073653,UmatillaOregon,Oregon,Umatilla County,80075,80011,79988,-64,-23,229,931,228,852,1,79,-2,-9,-63,-110,-65,-119,0,17,11.63757274,10.65006656,0.987506172,-0.112500703,-1.375008594,-1.487509297,75889,29693,75889,73545,59995,638,2662,664,101,9485,2344,2221,187,890,217,36,676,32,0,1,17,13,7,69,16,45,15,120,3,0,0,75889,18107,57782,56407,52691,557,2383,626,95,55,1375,1296,76,3,0,0,55689,54482,45817,518,1865,518,64,5700,1207,1148,57,2,0,0,55689,10651,45038,44282,41489,478,1714,502,59,40,756,720,34,2,0,0,29693,26904,2789
14,41031,Jefferson,Jefferson County,4614583047,26212115,+44.6451505,-121.1786315,0.526280778,JeffersonOregon,Oregon,Jefferson County,24502,24518,25068,16,550,70,292,98,311,-28,-19,0,0,46,574,46,574,-2,-5,11.77751785,12.54386319,-0.766345339,0,23.15169604,23.15169604,21720,9815,21720,20896,14996,138,3667,93,25,1977,824,763,25,359,44,17,171,18,0,1,2,15,19,76,8,4,4,61,0,0,0,21720,4195,17525,17046,13429,117,3360,83,23,34,479,448,31,0,0,0,16230,15809,12021,96,2389,69,20,1214,421,398,23,0,0,0,16230,2367,13863,13579,11141,87,2247,66,18,20,284,272,12,0,0,0,9815,7790,2025
15,41067,Washington,Washington County,1875855599,6118186,+45.5535419,-123.0976146,0.216881301,WashingtonOregon,Oregon,Washington County,600372,600689,600811,317,122,1533,6035,1079,4377,454,1658,32,474,-183,-2111,-151,-1637,14,101,10.04577611,7.285892634,2.759883479,0.789013733,-3.513940907,-2.724927174,529710,212450,529710,507180,405642,9616,3937,45755,2433,39797,22530,20479,2999,3646,7512,790,3220,211,215,53,218,108,37,205,664,486,115,1882,148,14,7,529710,83270,446440,429436,369453,8861,2559,45354,2269,940,17004,15450,1436,107,9,2,393872,383013,312989,6611,2756,34338,1686,24633,10859,9943,829,72,9,6,393872,50070,343802,335563,291219,6169,1919,34100,1587,569,8239,7516,665,51,5,2,212450,200934,11516
16,41063,Wallowa,Wallowa County,8147835333,14191752,+45.5937530,-117.1855796,0.94093756,WallowaOregon,Oregon,Wallowa County,7391,7387,7545,-4,158,12,62,22,83,-10,-21,0,0,8,183,8,183,-2,-4,8.304312885,11.11706402,-2.812751138,0,24.51111706,24.51111706,7008,4108,7008,6870,6731,26,45,24,7,37,138,130,16,74,24,5,7,1,0,0,0,1,0,0,2,0,0,8,0,0,0,7008,156,6852,6726,6625,26,38,24,6,7,126,118,8,0,0,0,5689,5611,5511,15,32,20,3,30,78,75,3,0,0,0,5689,103,5586,5511,5440,15,28,20,2,6,75,72,3,0,0,0,4108,3133,975
17,41013,Crook,Crook County,7715390857,21004473,+44.1630537,-120.3715849,0.870163084,CrookOregon,Oregon,Crook County,24738,24923,25739,185,816,63,229,69,286,-6,-57,0,-2,193,889,193,887,-2,-14,9.040306344,11.2905136,-2.250207256,-0.078954641,35.09533773,35.01638309,20978,10202,20978,20556,19441,35,302,97,11,670,422,394,38,247,41,9,42,1,0,0,0,0,2,5,1,8,0,28,0,0,0,20978,1463,19515,19180,18758,30,273,96,11,12,335,316,19,0,0,0,16378,16125,15391,23,222,72,8,409,253,240,13,0,0,0,16378,833,15545,15337,15017,20,210,71,8,11,208,197,11,0,0,0,10202,8558,1644
18,41005,Clackamas,Clackamas County,4845019827,31883427,+45.1604934,-122.1951274,0.558385679,ClackamasOregon,Oregon,Clackamas County,421401,422160,422537,759,377,988,3695,1045,4367,-57,-672,-5,69,839,911,834,980,-18,69,8.748699238,10.33980232,-1.591103082,0.163372191,2.15698647,2.320358661,375992,156945,375992,364127,331571,3082,3122,13729,867,11756,11865,10931,1638,3206,3403,384,1543,77,70,26,59,64,17,76,226,100,42,848,71,15,0,375992,29138,346854,337577,317648,2761,2340,13575,815,438,9277,8562,656,49,10,0,286761,280730,258082,2166,2272,10258,637,7315,6031,5598,384,40,9,0,286761,17240,269521,264667,249846,1980,1775,10167,598,301,4854,4509,310,28,7,0,156945,145790,11155
19,41007,Clatsop,Clatsop County,2144846710,661654767,+46.0245094,-123.7050366,0.326055693,ClatsopOregon,Oregon,Clatsop County,41072,41089,41810,17,721,76,367,122,488,-46,-121,-1,5,68,843,67,848,-4,-6,8.854147818,11.77336277,-2.919214948,0.120628717,20.33800167,20.45863038,37039,21546,37039,35988,33680,195,362,457,86,1208,1051,963,111,435,197,48,104,3,1,1,2,9,1,2,31,16,2,79,9,0,0,37039,2838,34201,33343,32295,163,308,445,84,48,858,790,61,7,0,0,29438,28794,27187,142,281,372,67,745,644,592,46,6,0,0,29438,1693,27745,27198,26363,124,248,362,65,36,547,501,41,5,0,0,21546,15742,5804
20,41035,Klamath,Klamath County,15410368803,484957652,+42.6837613,-121.6461682,1.74601911,KlamathOregon,Oregon,Klamath County,69413,69504,70164,91,660,207,758,243,1002,-36,-244,-1,-4,133,911,132,907,-5,-3,10.85431165,14.34831171,-3.494000057,-0.057278689,13.04522153,12.98794284,66380,32774,66380,63632,57019,432,2734,621,75,2751,2748,2611,284,1495,258,57,347,40,4,0,7,16,9,41,26,13,14,128,9,0,0,66380,6915,59465,57369,53822,394,2407,615,68,63,2096,1996,91,9,0,0,51577,50059,45536,298,1914,496,60,1755,1518,1450,66,2,0,0,51577,4113,47464,46229,43619,277,1741,493,55,44,1235,1183,50,2,0,0,32774,27280,5494
